Amaranth,莧菜
Baby Corn,玉米筍
Bamboo shoots,筊白筍
Basil,九層塔
Beef Tomato,牛番茄
Bell pepper,甜椒
Big Chinese Cabbage,大白菜
Big cucumber,大黃瓜
Bok Choy,青江菜
Chinese Cabbage,小白菜
French beans,四季豆
Garlic,蒜頭
Green Broccoli,青花菜
Green bamboo shoots,綠竹筍
Green pepper,青椒
Kale,芥藍
Lettuce,美生菜
Loofah,絲瓜
Lotus root,蓮藕
Mainland girl,大陸妹
Momordica charantia,苦瓜
Mountain Su,山蘇
Okra,秋葵
Red broccoli,紅鳳菜
Romaine,蘿蔓
Shallots,紅蔥頭
Sweet Pea,甜豌豆
Sweet potato leaves,地瓜葉
Taro,芋頭
Water Lily,水蓮
Water spinach,空心菜
Winter melon,冬瓜
Yam,山藥
asparagus,蘆筍
brocoli,花椰菜
cabbage,高麗菜
carrot,紅蘿蔔
celery,芹菜
chili,辣椒
coriander,香菜
eggplant,茄子
ginger,薑
green onion,蔥
onion,洋蔥
potato,馬鈴薯
pumpkin,南瓜
rape,油菜
spinach,菠菜
sweet potato,地瓜
zucchini,櫛瓜
